Num_Acc,catv,obs,obsm,choc,manv,num_veh
200900000377,31,0,0,0,21,A01
200900000378,32,0,1,2,7,A01
200900000379,32,0,1,3,17,A01
200900000380,7,4,2,4,1,B01
200900000380,7,0,2,2,14,A01
200900000381,7,0,2,6,11,A01
200900000381,33,0,2,7,3,B01
200900000382,10,0,2,1,2,A01
200900000382,7,0,2,4,23,C01
200900000382,7,0,2,4,23,B01
200900000383,30,0,2,2,2,A01
200900000383,7,0,2,4,20,B01
200900000384,7,0,1,3,1,A01
200900000385,32,0,0,8,1,A01
200900000386,7,0,1,3,7,A01
200900000387,7,0,1,3,1,A01
200900000388,38,0,1,5,7,A01
200900000389,7,0,1,5,20,A01
200900000390,2,0,2,7,15,A01
200900000390,37,0,2,1,7,B01
200900000391,1,0,2,1,17,B01
200900000391,7,0,2,8,17,A01
200900000392,2,0,2,8,7,A01
200900000392,7,0,2,2,16,B01
200900000393,7,0,2,4,2,B01
200900000393,7,0,2,1,2,A01
200900000394,7,0,2,0,12,A01
200900000394,33,0,2,3,1,B01
200900000395,7,0,1,1,1,A01
200900000396,32,0,0,0,21,A01
200900000397,7,0,1,1,1,A01
200900000398,32,15,0,0,1,A01
200900000399,7,0,1,0,16,Z01
200900000400,14,0,1,2,1,A01
200900000401,7,4,0,3,14,A01
200900000402,2,0,1,0,1,Z01
200900000403,10,0,1,1,15,A01
200900000404,7,0,2,5,1,B01
200900000404,30,0,2,1,7,A01
200900000405,30,0,1,0,1,Z01
200900000406,10,0,0,8,2,B01
200900000406,33,0,1,9,2,A01
200900000407,32,4,0,1,12,A01
200900000408,31,12,0,7,14,A01
200900000409,7,0,1,1,16,A01
200900000410,30,0,0,7,21,A01
200900000411,32,0,2,1,17,A01
200900000411,7,0,2,3,15,B01
200900000412,10,0,2,3,1,B01
200900000412,7,0,2,2,1,A01
200900000413,2,0,2,7,1,A01
200900000413,7,0,2,8,5,Z01
200900000414,32,0,0,0,1,A01
200900000415,2,0,0,0,1,A01
200900000416,2,0,2,7,15,A01
200900000416,7,0,2,1,1,B01
200900000417,33,0,0,8,1,A01
200900000418,33,0,2,8,1,A01
200900000418,10,0,2,2,15,B01
200900000419,7,0,2,4,23,B01
200900000419,33,0,2,4,7,A01
200900000420,33,0,2,3,1,B01
200900000420,7,0,2,5,12,A01
200900000421,7,0,2,1,2,A01
200900000421,31,0,2,4,2,B01
200900000422,32,0,2,1,1,B01
200900000422,7,0,2,7,1,A01
200900000423,7,0,1,2,1,A01
200900000424,7,0,1,1,1,A01
200900000425,14,0,1,2,16,A01
200900000426,37,0,1,2,7,A01
200900000427,33,0,2,8,2,A01
200900000427,10,0,2,4,2,B01
200900000428,7,0,2,2,15,A01
200900000428,31,0,2,7,1,B01
200900000429,7,0,2,7,1,B01
200900000429,7,0,2,1,1,A01
200900000430,2,1,0,1,14,A01
200900000431,7,0,1,6,4,A01
200900000432,7,0,2,2,16,A01
200900000432,32,0,2,8,1,B01
200900000433,13,6,0,1,1,A01
200900000434,30,0,0,8,1,A01
200900000435,7,0,2,2,1,A01
200900000435,2,0,2,3,1,B01
200900000436,30,0,2,1,17,A01
200900000436,7,0,2,1,1,B01
200900000437,33,0,2,1,1,A01
200900000437,7,0,2,0,11,Z01
200900000438,1,0,2,8,19,A01
200900000438,7,0,2,2,15,B01
200900000439,7,0,2,4,23,B01
200900000439,7,0,2,1,2,A01
200900000440,33,0,1,1,1,A01
200900000441,30,0,0,7,1,A01
200900000442,32,0,0,1,21,A01
200900000443,20,0,1,2,1,A01
200900000444,10,0,2,4,2,B01
200900000444,7,0,2,4,2,C01
200900000444,10,0,2,1,2,A01
200900000445,7,8,0,2,14,A01
200900000446,33,0,2,2,17,B01
200900000446,34,0,2,3,15,A01
200900000447,7,0,2,2,2,A01
200900000447,7,0,2,9,23,B01
200900000447,7,0,2,4,23,C01
200900000448,2,0,0,0,21,A01
200900000449,7,0,1,0,4,A01
200900000450,7,0,1,1,15,A01
200900000451,7,0,1,4,4,A01
200900000452,31,0,1,1,1,A01
200900000453,7,0,2,4,2,B01
200900000453,33,0,2,1,2,A01
200900000454,33,0,0,0,15,A01
200900000455,1,0,2,3,1,B01
200900000455,7,0,2,3,22,A01
200900000456,7,0,2,8,15,B01
200900000456,32,0,2,8,17,A01
200900000457,32,1,0,0,21,A01
200900000458,33,0,2,4,2,B01
200900000458,7,0,2,2,2,A01
200900000459,32,0,1,2,1,A01
200900000460,7,0,2,2,23,B01
200900000460,7,0,2,4,23,C01
200900000460,7,0,2,1,1,A01
200900000461,7,4,0,2,14,A01
200900000462,30,0,0,0,1,A01
200900000463,30,0,1,1,1,A01
200900000464,2,0,2,1,1,B01
200900000464,7,0,2,2,1,A01
200900000465,2,0,0,0,21,A01
200900000466,32,0,2,1,1,B01
200900000466,7,0,2,2,15,A01
200900000467,30,0,2,7,19,B01
200900000467,7,0,2,1,12,A01
200900000468,7,0,2,1,1,A01
200900000468,7,0,2,2,1,B01
200900000469,1,0,1,2,7,A01
200900000470,7,0,2,5,1,A01
200900000470,7,0,2,2,1,B01
200900000471,33,0,2,2,3,Z01
200900000471,31,0,2,6,23,A01
200900000472,7,0,1,2,16,A01
200900000473,31,0,2,8,3,A01
200900000473,7,0,2,6,1,C01
200900000473,10,0,2,7,14,B01
200900000474,32,0,1,2,1,A01
200900000475,32,12,0,0,21,A01
200900000476,33,4,0,1,14,A01
200900000477,7,0,2,6,23,C01
200900000477,7,1,2,3,1,B01
200900000477,2,0,2,1,1,A01
200900000478,7,2,0,1,13,A01
200900000479,33,8,2,7,1,B01
200900000479,7,0,2,3,15,A01
200900000480,2,0,1,1,18,A01
200900000481,7,1,0,1,21,A01
200900000482,32,0,2,8,1,B01
200900000482,7,0,2,3,15,A01
200900000483,7,0,2,2,16,A01
200900000483,31,0,2,7,1,B01
200900000484,7,0,1,1,15,A01
200900000485,2,0,2,8,1,A01
200900000485,7,0,2,2,15,B01
200900000486,31,0,2,8,1,B01
200900000486,7,0,2,4,16,A01
200900000487,7,0,1,2,7,A01
